itemID|itemName|itemType|itemStat|itemDescription|roomID|quantity
1|vaccine|consumable|100|A vial containing an experimental cure for the infection.|2er|1
1|vaccine|consumable|100|A vial containing an experimental cure for the infection.|1pharm|10
2|painkiller A|consumable|25|A standard medical kit with bandages and antibiotics.|3icu|10
2|painkiller A|consumable|25|A standard medical kit with bandages and antibiotics.|1ew|15
3|painkiller B|consumable|5|A standard medical kit with bandages and antibiotics.|2ped|25
4|first aid kit|consumable|25|A military-grade medical kit.|3or|10
4|first aid kit|consumable|25|A military-grade medical kit.|3lab|10
4|first aid kit|consumable|25|A military-grade medical kit.|2rad|10
4|first aid kit|consumable|25|A military-grade medical kit.|1ew|1
5|gas mask|consumable|100|A worn respiratory mask.|1ew|1




